x,y,Date
173.53306,-42.13073,12-12-2009 23:09
173.53176,-42.13037,13-12-2009 1:09
173.53158,-42.12996,13-12-2009 3:09
173.53155,-42.13056,16-12-2009 23:09
173.53314,-42.13038,17-12-2009 1:09
173.53118,-42.13034,17-12-2009 3:09
173.53157,-42.131,17-12-2009 23:10
173.53176,-42.13053,18-12-2009 1:09
173.53222,-42.13054,18-12-2009 3:09
173.53133,-42.12947,18-12-2009 23:09
173.53132,-42.12937,19-12-2009 1:09
173.53211,-42.12978,19-12-2009 3:09
173.53316,-42.13038,19-12-2009 23:09
173.53135,-42.13027,20-12-2009 1:10
173.53193,-42.12979,20-12-2009 3:09
173.53058,-42.12998,20-12-2009 6:11
173.5316,-42.12977,20-12-2009 23:09
173.53153,-42.13004,21-12-2009 1:09
173.53183,-42.13092,21-12-2009 3:10
173.53202,-42.13135,21-12-2009 23:09
173.53173,-42.1307,22-12-2009 1:09
173.53152,-42.12998,22-12-2009 3:09
173.52923,-42.12949,22-12-2009 23:09
173.52881,-42.12846,23-12-2009 1:09
173.53023,-42.1293,23-12-2009 3:10
173.52933,-42.12795,23-12-2009 23:10
173.52787,-42.12888,24-12-2009 1:10
173.53049,-42.1289,24-12-2009 3:09
173.53148,-42.13026,24-12-2009 23:10
173.53282,-42.13051,25-12-2009 1:10
173.53176,-42.13093,25-12-2009 3:09
173.52928,-42.12828,26-12-2009 23:10
173.52856,-42.12859,27-12-2009 1:09
173.5293,-42.12799,27-12-2009 3:10
173.5311,-42.12937,27-12-2009 6:10
173.52899,-42.12836,28-12-2009 23:10
173.52924,-42.12819,29-12-2009 1:10
173.53041,-42.12904,29-12-2009 3:10
173.53143,-42.13013,29-12-2009 23:10
173.5314,-42.13007,30-12-2009 1:10
173.53138,-42.13019,30-12-2009 3:10
173.53176,-42.13068,30-12-2009 23:10
173.53164,-42.13016,31-12-2009 1:10
173.53114,-42.13004,31-12-2009 3:11
173.52904,-42.12864,31-12-2009 23:10
